org	n
Acinetobacter baumannii	23
Bordetella bronchiseptica	1
Bordetella hinzii	1
Bordetella holmesii	1
Bordetella parapertussis	1
Burkholderia pseudomallei	14
Campylobacter jejuni	21
Enterobacter hormaechei	10
Enterobacter roggenkampii	10
Enterococcus faecalis	49
Enterococcus faecium	26
Escherichia coli	20
Klebsiella grimontii	4
Klebsiella huaxiensis	2
Klebsiella michiganensis	4
Klebsiella oxytoca	4
Klebsiella pasteurii	4
Klebsiella pneumoniae	7
Klebsiella spallanzanii	2
Legionella	2
Legionella pneumophila	1
Mycobacterium tuberculosis	9
Neisseria meningitidis	4
Proteus mirabilis	2
Pseudomonas aeruginosa	95
Salmonella enterica	3
Shewanella algae	3
Staphylococcus aureus	63
Yersinia enterocolitica	7
